auc,delta_dp,lr,beta,gamma,epochs,data_frac
0.7327854584360738,0.1979477877365201,1e-05,0.1,1.0,10.0,1.0
0.7453810978707083,0.2035495803101437,1e-05,0.1,1.0,30.0,1.0
0.7422371632527469,0.2120238241686144,1e-05,0.1,1.0,60.0,1.0
0.7461472153543025,0.1899630103855455,1e-05,0.1,1.0,90.0,1.0
0.7323895266938711,0.2133770041415508,1e-05,1.0,1.0,10.0,1.0
0.7386254864254559,0.2035495803101437,1e-05,1.0,1.0,30.0,1.0
0.7451161228137122,0.2352995448394637,1e-05,1.0,1.0,60.0,1.0
0.7455561706762236,0.2114805019067536,1e-05,1.0,1.0,90.0,1.0
0.735174687311341,0.24206031902243,1e-05,10.0,1.0,10.0,1.0
0.7375861829981203,0.2003936523557632,1e-05,10.0,1.0,30.0,1.0
0.7390812602235978,0.18740517488826,1e-05,10.0,1.0,60.0,1.0
0.7305601689605659,0.1709004797638085,1e-05,10.0,1.0,90.0,1.0
0.7332923067331221,0.1995127329634372,0.0001,0.1,1.0,10.0,1.0
0.7454349557210536,0.1953158344003414,0.0001,0.1,1.0,30.0,1.0
0.7428726023862786,0.2150018452454177,0.0001,0.1,1.0,60.0,1.0
0.7459050637791067,0.1863185303645384,0.0001,0.1,1.0,90.0,1.0
0.7473810750472265,0.204181531143642,0.0001,1.0,1.0,10.0,1.0
0.7524957616515962,0.1849704760733177,0.0001,1.0,1.0,30.0,1.0
0.7521195917046107,0.1947041456513716,0.0001,1.0,1.0,60.0,1.0
0.7495700417864551,0.2042075686441884,0.0001,1.0,1.0,90.0,1.0
0.7461071350935805,0.201326646749182,0.0001,10.0,1.0,10.0,1.0
0.7422054330463419,0.1966006478861688,0.0001,10.0,1.0,30.0,1.0
0.7396819074641413,0.2405214112960592,0.0001,10.0,1.0,60.0,1.0
0.7503870946013838,0.2037985488689713,0.0001,10.0,1.0,90.0,1.0
0.6774573026930873,0.1257022183950465,1e-05,20.0,0.1,10.0,1.0
0.694736765929329,0.1857752081026776,1e-05,20.0,0.1,30.0,1.0
0.6958974234794064,0.2634344117767663,1e-05,20.0,0.1,60.0,1.0
0.6875306690536689,0.2085076065116661,1e-05,20.0,0.1,90.0,1.0
0.6879292449797385,0.2293435026858572,1e-05,20.0,1.0,10.0,1.0
0.7015273084351413,0.1635963833189814,1e-05,20.0,1.0,30.0,1.0
0.7059714856778477,0.1968774346988149,1e-05,20.0,1.0,60.0,1.0
0.7195808217065784,0.2472013777832452,1e-05,20.0,1.0,90.0,1.0
0.7269610172147503,0.1987688112518964,1e-05,20.0,5.0,10.0,1.0
0.7297627387732823,0.1669684434577841,1e-05,20.0,5.0,30.0,1.0
0.7288754063345182,0.2190613851642269,1e-05,20.0,5.0,60.0,1.0
0.7291545764838533,0.2033665477508508,1e-05,20.0,5.0,90.0,1.0
0.7280303808376274,0.199578668962972,1e-05,20.0,10.0,10.0,1.0
0.7257918704427839,0.2534239553860664,1e-05,20.0,10.0,30.0,1.0
0.7303209399043807,0.2187897240332965,1e-05,20.0,10.0,60.0,1.0
0.7287508513576214,0.2114805019067536,1e-05,20.0,10.0,90.0,1.0
0.7260756331219934,0.2523993662687386,1e-05,100.0,0.1,10.0,1.0
0.7200711090625646,0.2177030795095748,1e-05,100.0,0.1,30.0,1.0
0.6949648615797579,0.1265223274695534,1e-05,100.0,0.1,60.0,1.0
0.7204682933129146,0.2182920756864419,1e-05,100.0,0.1,90.0,1.0
0.7215549137147137,0.2131053430106204,1e-05,100.0,1.0,10.0,1.0
0.7014797131255338,0.1711670152130233,1e-05,100.0,1.0,30.0,1.0
0.7113878875782087,0.2250071759544019,1e-05,100.0,1.0,60.0,1.0
0.7060034942193967,0.20742608766966,1e-05,100.0,1.0,90.0,1.0
0.7090136888007122,0.1676507975560749,1e-05,100.0,5.0,10.0,1.0
0.7036977658873005,0.1692097026604068,1e-05,100.0,5.0,30.0,1.0
0.7183643579601485,0.2201429040062328,1e-05,100.0,5.0,60.0,1.0
0.725904178673349,0.1684555295854348,1e-05,100.0,5.0,90.0,1.0
0.7207979812908684,0.1745625266752026,1e-05,100.0,10.0,10.0,1.0
0.724096391913696,0.2321276141698677,1e-05,100.0,10.0,30.0,1.0
0.729343009376276,0.2204145651371633,1e-05,100.0,10.0,60.0,1.0
0.7221636326744305,0.2397033717456252,1e-05,100.0,10.0,90.0,1.0
0.6933684703618997,0.1547161758429364,1e-05,1000.0,0.1,10.0,1.0
0.7229154158981137,0.322974330585968,1e-05,1000.0,0.1,30.0,1.0
0.690398356041306,0.2864589740435477,1e-05,1000.0,0.1,60.0,1.0
0.6922581914728687,0.1936797552994736,1e-05,1000.0,0.1,90.0,1.0
0.7018578314185268,0.1947143970148029,1e-05,1000.0,1.0,10.0,1.0
0.7042021091680535,0.2160936154508549,1e-05,1000.0,1.0,30.0,1.0
0.6911977345745968,0.2085178578750973,1e-05,1000.0,1.0,60.0,1.0
0.670127485845962,0.1506079058514782,1e-05,1000.0,1.0,90.0,1.0
0.6950916432378059,0.2439619469389428,1e-05,1000.0,5.0,10.0,1.0
0.6876311480406181,0.1919977857054988,1e-05,1000.0,5.0,30.0,1.0
0.6914411386579403,0.1933509656784353,1e-05,1000.0,5.0,60.0,1.0
0.7062436974485853,0.1920029113872144,1e-05,1000.0,5.0,90.0,1.0
0.7063672782524784,0.2214960839791692,1e-05,1000.0,10.0,10.0,1.0
0.7261392327023755,0.1798242916307868,1e-05,1000.0,10.0,30.0,1.0
0.7148858644992152,0.2220291548775987,1e-05,1000.0,10.0,60.0,1.0
0.7004171687136825,0.1958849053919477,1e-05,1000.0,10.0,90.0,1.0
0.7156103708787959,0.184361217811922,0.0001,20.0,0.1,10.0,1.0
0.7165249801616627,0.2052579243039324,0.0001,20.0,0.1,30.0,1.0
0.7136975126023195,0.2442233567064419,0.0001,20.0,0.1,60.0,1.0
0.6967925493021999,0.1706288186328781,0.0001,20.0,0.1,90.0,1.0
0.71625596924508,0.1805733390240432,0.0001,20.0,1.0,10.0,1.0
0.7303302641317015,0.1831341584862711,0.0001,20.0,1.0,30.0,1.0
0.7288907147674328,0.2236591216631812,0.0001,20.0,1.0,60.0,1.0
0.7218269863178793,0.1832942097026603,0.0001,20.0,1.0,90.0,1.0
